16:33:01.784 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:33:01.920 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:33:02.080 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.000 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.159 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.304 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.440 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.576 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.704 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.840 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:14.975 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:15.128 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:15.296 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:15.480 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:24.352 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:24.568 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:25.455 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:25.656 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:25.824 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:34:40.672 | Info | 'Software loaded' | 
16:35:06.574 | Info | 'Software loaded' | 
